X,Y,Z
5.011764593860682737e+01,1.270588206894257510e+01,-6.747409422235511878e-01
5.023529299480073718e+01,1.261176442398744513e+01,-6.747409422235521870e-01
5.035294005099464698e+01,1.251764677903231515e+01,-6.747409422235530752e-01
5.047058710718856389e+01,1.242352913407718518e+01,-6.747409422235524090e-01
5.047058710718856389e+01,1.242352913407718518e+01,-6.747409422235531862e-01
5.058823416338247370e+01,1.232941148912205520e+01,-6.747409422235519649e-01
5.070588121957638350e+01,1.223529384416692523e+01,-6.747409422235526311e-01
5.082352827577030041e+01,1.214117619921179525e+01,-6.747409422235526311e-01
5.094117533196421022e+01,1.204705855425666527e+01,-6.747409422235526311e-01
5.105882238815812713e+01,1.195294090930153352e+01,-6.747409422235526311e-01
5.117646944435203693e+01,1.185882326434640355e+01,-6.747409422235537413e-01
5.129411650054595384e+01,1.176470561939127357e+01,-6.747409422235530752e-01
5.141176355673986365e+01,1.167058797443614360e+01,-6.747409422235524090e-01
5.152941061293377345e+01,1.157647032948101362e+01,-6.747409422235538523e-01
5.164705766912769036e+01,1.148235268452588187e+01,-6.747409422235537413e-01
5.176470472532160016e+01,1.138823503957075189e+01,-6.747409422235529641e-01
5.188235178151551708e+01,1.129411739461562192e+01,-6.747409422235519649e-01
5.199999883770942688e+01,1.119999974966049194e+01,-6.747409422235537413e-01
5.185185069287264525e+01,1.117407382431405516e+01,-2.968346987137428616e+00
5.170370254803586363e+01,1.114814789896761837e+01,-2.968346987137429505e+00
5.155555440319908911e+01,1.112222197362118337e+01,-2.968346987137428616e+00
5.140740625836230748e+01,1.109629604827474658e+01,-2.968346987137428616e+00
5.125925811352553296e+01,1.107037012292830980e+01,-2.968346987137428172e+00
5.111110996868875134e+01,1.104444419758187301e+01,-2.968346987137429061e+00
5.096296182385196971e+01,1.101851827223543800e+01,-2.968346987137428616e+00
5.081481367901518809e+01,1.099259234688900122e+01,-2.968346987137428172e+00
5.066666553417841357e+01,1.096666642154256621e+01,-2.968346987137428172e+00
5.051851738934163194e+01,1.094074049619612943e+01,-2.968346987137428616e+00
5.037036924450485742e+01,1.091481457084969264e+01,-2.968346987137428616e+00
5.022222109966807579e+01,1.088888864550325586e+01,-2.968346987137428616e+00
5.007407295483129417e+01,1.086296272015682085e+01,-2.968346987137427728e+00
4.992592480999451965e+01,1.083703679481038407e+01,-2.968346987137428616e+00
4.977777666515773802e+01,1.081111086946394728e+01,-2.968346987137428616e+00
4.962962852032096350e+01,1.078518494411751050e+01,-2.968346987137428616e+00
4.948148037548418188e+01,1.075925901877107549e+01,-2.968346987137428172e+00
4.933333223064740025e+01,1.073333309342463870e+01,-2.968346987137427728e+00
4.918518408581062573e+01,1.070740716807820192e+01,-2.968346987137427728e+00
4.903703594097384411e+01,1.068148124273176514e+01,-2.968346987137427728e+00
4.888888779613706959e+01,1.065555531738533013e+01,-2.968346987137428172e+00
4.874073965130028796e+01,1.062962939203889334e+01,-2.968346987137428172e+00
4.859259150646350633e+01,1.060370346669245656e+01,-2.968346987137427284e+00
4.844444336162673181e+01,1.057777754134601977e+01,-2.968346987137427728e+00
4.829629521678995019e+01,1.055185161599958477e+01,-2.968346987137427728e+00
4.814814707195317567e+01,1.052592569065314798e+01,-2.968346987137428616e+00
4.814814707195317567e+01,1.052592569065314798e+01,-2.968346987137427284e+00
4.785682468614852070e+01,1.054920669341731632e+01,2.810554152453232479e+00
4.771365044518064735e+01,1.059841362152792144e+01,2.810554152453232035e+00
4.757047620421277401e+01,1.064762054963852833e+01,2.810554152453232479e+00
4.742730196324490777e+01,1.069682747774913345e+01,2.810554152453232923e+00
4.728412772227703442e+01,1.074603440585973857e+01,2.810554152453232479e+00
4.714095348130916108e+01,1.079524133397034369e+01,2.810554152453232923e+00
4.699777924034128773e+01,1.084444826208094881e+01,2.810554152453232035e+00
4.685460499937342149e+01,1.089365519019155570e+01,2.810554152453232479e+00
4.671143075840554815e+01,1.094286211830216082e+01,2.810554152453232035e+00
4.656825651743767480e+01,1.099206904641276594e+01,2.810554152453232479e+00
4.642508227646980146e+01,1.104127597452337106e+01,2.810554152453232479e+00
4.628190803550192811e+01,1.109048290263397796e+01,2.810554152453231591e+00
4.613873379453406187e+01,1.113968983074458308e+01,2.810554152453231591e+00
4.599555955356618853e+01,1.118889675885518820e+01,2.810554152453232479e+00
4.585238531259831518e+01,1.123810368696579332e+01,2.810554152453232479e+00
4.570921107163044184e+01,1.128731061507640021e+01,2.810554152453232479e+00
4.556603683066256849e+01,1.133651754318700533e+01,2.810554152453231147e+00
4.542286258969470225e+01,1.138572447129761045e+01,2.810554152453232479e+00
4.527968834872682891e+01,1.143493139940821557e+01,2.810554152453232479e+00
4.513651410775895556e+01,1.148413832751882246e+01,2.810554152453232035e+00
4.499333986679108222e+01,1.153334525562942758e+01,2.810554152453232035e+00
4.485016562582320887e+01,1.158255218374003270e+01,2.810554152453232035e+00
4.470699138485534263e+01,1.163175911185063782e+01,2.810554152453232035e+00
4.456381714388746929e+01,1.168096603996124472e+01,2.810554152453232035e+00
4.442064290291959594e+01,1.173017296807184984e+01,2.810554152453232035e+00
4.427746866195172259e+01,1.177937989618245496e+01,2.810554152453232923e+00
4.413429442098384925e+01,1.182858682429306008e+01,2.810554152453232035e+00
4.399112018001598301e+01,1.187779375240366697e+01,2.810554152453232035e+00
4.384794593904810966e+01,1.192700068051427209e+01,2.810554152453232035e+00
4.370477169808023632e+01,1.197620760862487721e+01,2.810554152453232923e+00
4.370477169808023632e+01,1.197620760862487721e+01,2.810554152453232035e+00
4.356159745711236297e+01,1.202541453673548233e+01,2.810554152453232035e+00
4.341842321614448963e+01,1.207462146484608922e+01,2.810554152453232035e+00
4.327524897517662339e+01,1.212382839295669434e+01,2.810554152453232035e+00
4.313207473420875004e+01,1.217303532106729946e+01,2.810554152453232035e+00
4.298890049324087670e+01,1.222224224917790458e+01,2.810554152453232035e+00
4.284572625227300335e+01,1.227144917728850970e+01,2.810554152453231591e+00
4.270255201130513001e+01,1.232065610539911660e+01,2.810554152453232035e+00
4.255937777033726377e+01,1.236986303350972172e+01,2.810554152453232035e+00
4.241620352936939042e+01,1.241906996162032684e+01,2.810554152453232035e+00
4.227302928840151708e+01,1.246827688973093196e+01,2.810554152453232035e+00
4.212985504743364373e+01,1.251748381784153885e+01,2.810554152453232035e+00
4.198668080646577039e+01,1.256669074595214397e+01,2.810554152453232035e+00
4.184350656549790415e+01,1.261589767406274909e+01,2.810554152453232035e+00
4.170033232453003080e+01,1.266510460217335599e+01,2.810554152453232035e+00
4.155715808356215746e+01,1.271431153028396110e+01,2.810554152453232035e+00
4.141398384259428411e+01,1.276351845839456622e+01,2.810554152453232035e+00
4.127080960162641787e+01,1.281272538650517134e+01,2.810554152453231147e+00
4.112763536065854453e+01,1.286193231461577824e+01,2.810554152453232035e+00
4.098446111969067118e+01,1.291113924272638336e+01,2.810554152453232035e+00
4.098446111969067118e+01,1.291113924272638336e+01,2.810554152453231591e+00
4.084128687872279784e+01,1.296034617083698848e+01,2.810554152453231591e+00
4.069811263775492449e+01,1.300955309894759360e+01,2.810554152453231591e+00
4.055493839678705825e+01,1.305876002705819872e+01,2.810554152453232035e+00
4.041176415581918491e+01,1.310796695516880561e+01,2.804179164185398587e+00
4.026858991485131156e+01,1.315717388327941073e+01,2.797811795559084214e+00
4.026858991485131156e+01,1.315717388327941073e+01,2.791452548264711009e+00
4.012541567388343822e+01,1.320638081139001585e+01,2.785101920086748617e+00
3.998224143291557198e+01,1.325558773950062275e+01,2.778760404680744589e+00
3.983906719194769863e+01,1.330479466761122787e+01,2.772428491355242386e+00
3.969589295097982529e+01,1.335400159572183298e+01,2.768563923613702293e+00
3.969589295097982529e+01,1.335400159572183298e+01,2.762599074408043087e+00
3.955271871001195194e+01,1.340320852383243988e+01,2.756643886523118425e+00
3.940954446904407860e+01,1.345241545194304500e+01,2.750698757843698772e+00
3.940954446904407860e+01,1.345241545194304500e+01,2.744764082067586486e+00
3.927034867600795565e+01,1.351761423874512502e+01,2.738840248564533120e+00
3.913115288297183270e+01,1.358281302554720504e+01,2.736971878703577499e+00
3.899195708993571685e+01,1.364801181234928684e+01,2.732927642239492361e+00
3.885276129689959390e+01,1.371321059915136686e+01,2.728414049488816051e+00
3.871356550386347095e+01,1.377840938595344689e+01,2.723344580637795609e+00
3.857436971082735511e+01,1.384360817275552868e+01,2.717610124471704136e+00
3.843517391779123216e+01,1.390880695955760871e+01,2.717610124471704136e+00
3.829597812475510921e+01,1.397400574635968873e+01,2.711071116338238163e+00
3.815678233171899336e+01,1.403920453316177053e+01,2.703546161134710246e+00
3.801758653868287041e+01,1.410440331996385055e+01,2.703546161134710246e+00
3.787839074564674746e+01,1.416960210676593057e+01,2.703546161134709358e+00
3.773919495261063162e+01,1.423480089356801237e+01,2.703546161134708470e+00
3.755333249395092565e+01,1.444666634375850300e+01,1.878849107818674202e+00
3.750666582832733553e+01,1.459333300714691539e+01,1.878849107818673092e+00
3.745999916270375252e+01,1.473999967053532600e+01,1.878849107818671760e+00
3.741333249708016240e+01,1.488666633392373839e+01,1.878849107818674202e+00
3.736666583145657938e+01,1.503333299731214900e+01,1.878849107818673092e+00
3.731999916583299637e+01,1.517999966070055962e+01,1.878849107818673092e+00
3.727333250020941335e+01,1.532666632408897200e+01,1.878849107818673092e+00
3.722666583458582323e+01,1.547333298747738262e+01,1.878849107818673092e+00
3.717999916896224022e+01,1.561999965086579323e+01,1.878849107818673092e+00
3.717999916896224022e+01,1.561999965086579323e+01,1.878849107818673092e+00
3.713333250333865720e+01,1.576666631425420384e+01,1.878849107818673980e+00
3.708666583771506708e+01,1.591333297764261623e+01,1.878849107818671982e+00
3.703999917209148407e+01,1.605999964103102684e+01,1.878849107818673092e+00
3.699333250646790106e+01,1.620666630441943923e+01,1.878849107818670650e+00
3.694666584084431094e+01,1.635333296780784806e+01,1.878849107818671760e+00
3.684615302257812886e+01,1.664076885881905454e+01,1.936137989706098184e+00
3.679230686993552979e+01,1.678153808644184863e+01,1.936137989706098406e+00
3.673846071729293072e+01,1.692230731406464272e+01,1.936137989706099294e+00
3.668461456465033166e+01,1.706307654168743326e+01,1.936137989706099294e+00
3.663076841200773259e+01,1.720384576931022735e+01,1.936137989706099294e+00
3.663076841200773259e+01,1.720384576931022735e+01,1.936137989706099516e+00
3.657692225936513353e+01,1.734461499693302144e+01,1.936137989706099516e+00
3.652307610672253446e+01,1.748538422455581554e+01,1.936137989706099516e+00
3.646922995407993540e+01,1.762615345217860607e+01,1.936137989706097740e+00
3.641538380143733633e+01,1.776692267980140016e+01,1.936137989706097740e+00
3.636153764879473727e+01,1.790769190742419426e+01,1.936137989706097740e+00
3.630769149615214531e+01,1.804846113504698835e+01,1.936137989706097740e+00
3.625384534350954624e+01,1.818923036266978244e+01,1.936137989706098184e+00
3.619999919086694717e+01,1.832999959029257298e+01,1.936137989706097740e+00
3.614615303822434811e+01,1.847076881791536707e+01,1.936137989706097740e+00
3.609230688558174904e+01,1.861153804553816116e+01,1.936137989706097740e+00
3.603846073293914998e+01,1.875230727316095525e+01,1.936137989706098184e+00
3.603846073293914998e+01,1.875230727316095525e+01,1.936137989706098184e+00
3.598461458029655091e+01,1.889307650078374934e+01,1.936137989706097740e+00
3.593076842765395895e+01,1.903384572840653988e+01,1.936137989706097517e+00
3.587692227501135989e+01,1.917461495602933397e+01,1.936137989706097295e+00
3.582307612236876082e+01,1.931538418365212806e+01,1.936137989706099960e+00
3.576922996972616176e+01,1.945615341127492215e+01,1.936137989706099960e+00
3.571538381708356269e+01,1.959692263889771269e+01,1.936137989706099072e+00
3.566153766444096362e+01,1.973769186652050678e+01,1.936137989706099072e+00
3.566153766444096362e+01,1.973769186652050678e+01,1.936137989706098850e+00
3.560769151179836456e+01,1.987846109414330087e+01,1.936137989706098850e+00
3.555384535915576549e+01,2.001923032176609141e+01,1.936137989706098850e+00
3.549999920651316643e+01,2.015999954938888550e+01,1.936137989706098628e+00
3.536876622569739936e+01,2.024430493808120701e+01,2.570571576832171523e+00
3.523753324488162519e+01,2.032861032677352853e+01,2.570571576832171523e+00
3.510630026406585813e+01,2.041291571546585004e+01,2.570571576832171523e+00
3.497506728325009107e+01,2.049722110415817156e+01,2.570571576832171523e+00
3.484383430243432400e+01,2.058152649285049307e+01,2.570571576832171079e+00
3.484383430243432400e+01,2.058152649285049307e+01,2.570571576832171523e+00
3.471260132161854983e+01,2.066583188154281814e+01,2.570571576832171079e+00
3.458136834080278277e+01,2.075013727023513965e+01,2.570571576832171079e+00
3.445013535998700860e+01,2.083444265892746472e+01,2.571519521817202669e+00
3.431890237917124153e+01,2.091874804761978623e+01,2.572348482309603224e+00
3.431890237917124153e+01,2.091874804761978623e+01,2.573236144446017892e+00
3.418766939835546737e+01,2.100305343631211130e+01,2.574123278275372684e+00
3.405643641753970030e+01,2.108735882500443282e+01,2.575009882874063294e+00
3.392520343672392613e+01,2.117166421369675788e+01,2.575895957322911212e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.576781500707169492e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.577250102483580108e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.578082803741185813e+00
3.379397045590815907e+01,2.125596960238907940e+01,2.578915032589664147e+00
3.366273747509239200e+01,2.134027499108140091e+01,2.579746788279083436e+00
3.352968474752969286e+01,2.142311245579600154e+01,2.580578070062983009e+00
3.339663201996699371e+01,2.150594992051060217e+01,2.580808897465820095e+00
3.326357929240430167e+01,2.158878738522520280e+01,2.581408877198371865e+00
3.313052656484160252e+01,2.167162484993980343e+01,2.582239208945729558e+00
3.299747383727890337e+01,2.175446231465440405e+01,2.582965358679201628e+00
3.286442110971620423e+01,2.183729977936900468e+01,2.583787887078023093e+00
3.273136838215350508e+01,2.192013724408360531e+01,2.583787887078023093e+00
3.259831565459080593e+01,2.200297470879820594e+01,2.583787887078022649e+00
3.246526292702810679e+01,2.208581217351280657e+01,2.583787887078023093e+00
3.233221019946540764e+01,2.216864963822740719e+01,2.584727344516413616e+00
3.219915747190270849e+01,2.225148710294200782e+01,2.584727344516413616e+00
3.206610474434000935e+01,2.233432456765660845e+01,2.584727344516413172e+00
3.193305201677731020e+01,2.241716203237120908e+01,2.584727344516415393e+00
3.193305201677731020e+01,2.241716203237120908e+01,2.584727344516415393e+00
3.165294046897221847e+01,2.254117596675367707e+01,2.868583950503083901e+00
3.150588164872982944e+01,2.258235243642154799e+01,2.868583950503082569e+00
3.135882282848744040e+01,2.262352890608941891e+01,2.868583950503083901e+00
3.121176400824504782e+01,2.266470537575728628e+01,2.868583950503083013e+00
3.106470518800265523e+01,2.270588184542515364e+01,2.868583950503082569e+00
3.091764636776026620e+01,2.274705831509302456e+01,2.868583950503083013e+00
3.077058754751787717e+01,2.278823478476089548e+01,2.868583950503082569e+00
3.062352872727548458e+01,2.282941125442876285e+01,2.868583950503082569e+00
